Step;Time[fs];Kin.[a.u.];Temp[K];Pot.[a.u.];Cons Qty;Used time
362;724;0.18982295;314.6523635;-1.135706523;-0.981851538;0.023005387
363;726;0.187496848;310.7965938;-1.132889679;-0.981808132;0.021933203
364;728;0.187675528;311.0927756;-1.130595323;-0.981788553;0.022380995
365;730;0.188275753;312.0877142;-1.129179658;-0.98178934;0.022021232
366;732;0.187745117;311.2081271;-1.128693579;-0.981794927;0.029850231
367;734;0.186716585;309.503223;-1.12914738;-0.981794155;0.023115693
368;736;0.188152575;311.8835338;-1.130604836;-0.981792942;0.021937003
369;738;0.19085326;316.3602151;-1.133013503;-0.981809605;0.02234592
370;740;0.193046617;319.9959446;-1.136011457;-0.981855751;0.022596048
371;742;0.194419403;322.271489;-1.138862261;-0.981920167;0.024674145
372;744;0.196579588;325.8522314;-1.140643527;-0.98197391;0.032303784
373;746;0.198717128;329.3954394;-1.140565926;-0.981989116;0.024088531
374;748;0.196597929;325.8826345;-1.138304468;-0.981954861;0.023693744
375;750;0.195497577;324.0586799;-1.134282203;-0.981881424;0.023196066
376;752;0.193766568;321.189342;-1.129385684;-0.981790849;0.023440562
377;754;0.189251602;313.7052911;-1.124902288;-0.981712446;0.023104206
378;756;0.184022352;305.037235;-1.122003456;-0.98167253;0.033227986
379;758;0.184047414;305.078778;-1.121280646;-0.981687748;0.024261379
380;760;0.187923832;311.5043663;-1.122508752;-0.981756285;0.022707021
381;762;0.188218304;311.9924863;-1.124641136;-0.981852962;0.023226816
382;764;0.189943864;314.8527922;-1.126264829;-0.981935849;0.023894091
383;766;0.189320814;313.820018;-1.126278688;-0.981971529;0.023634062
384;768;0.187082592;310.1099194;-1.12415282;-0.981946225;0.030800784
